,extime,iterations,resolution,savetime
0,19435614,800,1000,200378
1,23705712,800,1100,510641
2,28082574,800,1200,283269
3,32919189,800,1300,630213
4,37754390,800,1400,384348
5,43998347,800,1500,454837
6,50190045,800,1600,664015
7,57244390,800,1700,563780
8,63489621,800,1800,627327
9,70317735,800,1900,696675
10,77915763,800,2000,2683879
11,190089,800,100,69689
12,1745382,800,300,25939
13,3115768,800,400,38262
14,4918797,800,500,52886
15,7031619,800,600,75521
16,9634224,800,700,101298
17,12600375,800,800,129555
18,15862395,800,900,169705
19,19481491,800,1000,198526
